Name,Year,Genre,Run_time,Rating,Meta_score,Director_cast,Votes,Vote_gross
Nueve reinas,(2000),"
Crime, Drama, Thriller            ",114 min,"

7.9
",80        ,"
    Director:
Fabián Bielinsky
| 
    Stars:
Ricardo Darín, 
Gastón Pauls, 
Graciela Tenenbaum, 
María Mercedes Villagra
","50,223","
Votes:
50,223
| Gross:
$1.22M
"
Children of Men,(2006),"
Adventure, Drama, Sci-Fi            ",109 min,"

7.9
",84        ,"
    Director:
Alfonso Cuarón
| 
    Stars:
Julianne Moore, 
Clive Owen, 
Chiwetel Ejiofor, 
Michael Caine
","469,117","
Votes:
469,117
| Gross:
$35.55M
"
Almost Famous,(2000),"
Adventure, Comedy, Drama            ",122 min,"

7.9
",90        ,"
    Director:
Cameron Crowe
| 
    Stars:
Billy Crudup, 
Patrick Fugit, 
Kate Hudson, 
Frances McDormand
","255,762","
Votes:
255,762
| Gross:
$32.53M
"
Mulholland Dr.,(2001),"
Drama, Mystery, Thriller            ",147 min,"

7.9
",85        ,"
    Director:
David Lynch
| 
    Stars:
Naomi Watts, 
Laura Harring, 
Justin Theroux, 
Jeanne Bates
","326,656","
Votes:
326,656
| Gross:
$7.22M
"
Toy Story 2,(1999),"
Animation, Adventure, Comedy            ",92 min,"

7.9
",88        ,"
    Directors:
John Lasseter, 
Ash Brannon, 
Lee Unkrich
| 
    Stars:
Tom Hanks, 
Tim Allen, 
Joan Cusack, 
Kelsey Grammer
","533,361","
Votes:
533,361
| Gross:
$245.85M
"
Boogie Nights,(1997),"
Drama            ",155 min,"

7.9
",85        ,"
    Director:
Paul Thomas Anderson
| 
    Stars:
Mark Wahlberg, 
Julianne Moore, 
Burt Reynolds, 
Luis Guzmán
","242,501","
Votes:
242,501
| Gross:
$26.40M
"
Mimi wo sumaseba,(1995),"
Animation, Drama, Family            ",111 min,"

7.9
",75        ,"
    Director:
Yoshifumi Kondô
| 
    Stars:
Yoko Honna, 
Issey Takahashi, 
Takashi Tachibana, 
Shigeru Muroi
","53,627","
Votes:
53,627
"
Once Were Warriors,(1994),"
Crime, Drama            ",102 min,"

7.9
",77        ,"
    Director:
Lee Tamahori
| 
    Stars:
Rena Owen, 
Temuera Morrison, 
Mamaengaroa Kerr-Bell, 
Julian Arahanga
","31,829","
Votes:
31,829
| Gross:
$2.20M
"
True Romance,(1993),"
Crime, Drama, Romance            ",119 min,"

7.9
",,"
    Director:
Tony Scott
| 
    Stars:
Christian Slater, 
Patricia Arquette, 
Dennis Hopper, 
Val Kilmer
","209,232","
Votes:
209,232
| Gross:
$12.28M
"
Trois couleurs: Bleu,(1993),"
Drama, Music, Mystery            ",94 min,"

7.9
",85        ,"
    Director:
Krzysztof Kieslowski
| 
    Stars:
Juliette Binoche, 
Zbigniew Zamachowski, 
Julie Delpy, 
Benoît Régent
","91,690","
Votes:
91,690
| Gross:
$1.32M
"
Jûbê ninpûchô,(1993),"
Animation, Action, Adventure            ",94 min,"

7.9
",,"
    Director:
Yoshiaki Kawajiri
| 
    Stars:
Kôichi Yamadera, 
Emi Shinohara, 
Takeshi Aono, 
Osamu Saka
","34,935","
Votes:
34,935
"
Carlito's Way,(1993),"
Crime, Drama, Thriller            ",144 min,"

7.9
",65        ,"
    Director:
Brian De Palma
| 
    Stars:
Al Pacino, 
Sean Penn, 
Penelope Ann Miller, 
John Leguizamo
","203,377","
Votes:
203,377
| Gross:
$36.95M
"
Edward Scissorhands,(1990),"
Drama, Fantasy, Romance            ",105 min,"

7.9
",74        ,"
    Director:
Tim Burton
| 
    Stars:
Johnny Depp, 
Winona Ryder, 
Dianne Wiest, 
Anthony Michael Hall
","451,530","
Votes:
451,530
| Gross:
$56.36M
"
My Left Foot: The Story of Christy Brown,(1989),"
Biography, Drama            ",103 min,"

7.9
",97        ,"
    Director:
Jim Sheridan
| 
    Stars:
Daniel Day-Lewis, 
Brenda Fricker, 
Alison Whelan, 
Kirsten Sheridan
","69,116","
Votes:
69,116
| Gross:
$14.74M
"
Crimes and Misdemeanors,(1989),"
Comedy, Drama            ",104 min,"

7.9
",77        ,"
    Director:
Woody Allen
| 
    Stars:
Martin Landau, 
Woody Allen, 
Bill Bernstein, 
Claire Bloom
","55,245","
Votes:
55,245
| Gross:
$18.25M
"
The Untouchables,(1987),"
Crime, Drama, Thriller            ",119 min,"

7.9
",79        ,"
    Director:
Brian De Palma
| 
    Stars:
Kevin Costner, 
Sean Connery, 
Robert De Niro, 
Charles Martin Smith
","285,761","
Votes:
285,761
| Gross:
$76.27M
"
Hannah and Her Sisters,(1986),"
Comedy, Drama            ",107 min,"

7.9
",90        ,"
    Director:
Woody Allen
| 
    Stars:
Mia Farrow, 
Dianne Wiest, 
Michael Caine, 
Barbara Hershey
","67,910","
Votes:
67,910
| Gross:
$40.08M
"
Brazil,(1985),"
Drama, Sci-Fi            ",132 min,"

7.9
",84        ,"
    Director:
Terry Gilliam
| 
    Stars:
Jonathan Pryce, 
Kim Greist, 
Robert De Niro, 
Katherine Helmond
","189,179","
Votes:
189,179
| Gross:
$9.93M
"
This Is Spinal Tap,(1984),"
Comedy, Music            ",82 min,"

7.9
",92        ,"
    Director:
Rob Reiner
| 
    Stars:
Rob Reiner, 
Michael McKean, 
Christopher Guest, 
Kimberly Stringer
","130,251","
Votes:
130,251
| Gross:
$0.19M
"
A Christmas Story,(1983),"
Comedy, Family            ",93 min,"

7.9
",77        ,"
    Director:
Bob Clark
| 
    Stars:
Peter Billingsley, 
Melinda Dillon, 
Darren McGavin, 
Scott Schwartz
","133,597","
Votes:
133,597
| Gross:
$20.61M
"
The Blues Brothers,(1980),"
Action, Adventure, Comedy            ",133 min,"

7.9
",,"
    Director:
John Landis
| 
    Stars:
John Belushi, 
Dan Aykroyd, 
Cab Calloway, 
John Candy
","185,256","
Votes:
185,256
| Gross:
$57.23M
"
Manhattan,(1979),"
Comedy, Drama, Romance            ",96 min,"

7.9
",83        ,"
    Director:
Woody Allen
| 
    Stars:
Woody Allen, 
Diane Keaton, 
Mariel Hemingway, 
Michael Murphy
","132,577","
Votes:
132,577
| Gross:
$45.70M
"
All That Jazz,(1979),"
Drama, Music, Musical            ",123 min,"

7.9
",72        ,"
    Director:
Bob Fosse
| 
    Stars:
Roy Scheider, 
Jessica Lange, 
Ann Reinking, 
Leland Palmer
","28,611","
Votes:
28,611
| Gross:
$37.82M
"
Dawn of the Dead,(1978),"
Horror, Thriller            ",127 min,"

7.9
",71        ,"
    Director:
George A. Romero
| 
    Stars:
David Emge, 
Ken Foree, 
Scott H. Reiniger, 
Gaylen Ross
","112,440","
Votes:
112,440
| Gross:
$5.10M
"
All the President's Men,(1976),"
Biography, Drama, History            ",138 min,"

7.9
",84        ,"
    Director:
Alan J. Pakula
| 
    Stars:
Dustin Hoffman, 
Robert Redford, 
Jack Warden, 
Martin Balsam
","104,713","
Votes:
104,713
| Gross:
$70.60M
"
La montaña sagrada,(1973),"
Adventure, Drama, Fantasy            ",114 min,"

7.9
",76        ,"
    Director:
Alejandro Jodorowsky
| 
    Stars:
Alejandro Jodorowsky, 
Horacio Salinas, 
Zamira Saunders, 
Juan Ferrara
","38,092","
Votes:
38,092
| Gross:
$0.06M
"
Amarcord,(1973),"
Comedy, Drama            ",123 min,"

7.9
",,"
    Director:
Federico Fellini
| 
    Stars:
Magali Noël, 
Bruno Zanin, 
Pupella Maggio, 
Armando Brancia
","40,435","
Votes:
40,435
| Gross:
$0.29M
"
Le charme discret de la bourgeoisie,(1972),"
Comedy            ",102 min,"

7.9
",93        ,"
    Director:
Luis Buñuel
| 
    Stars:
Fernando Rey, 
Delphine Seyrig, 
Paul Frankeur, 
Bulle Ogier
","39,399","
Votes:
39,399
| Gross:
$0.20M
"
"Aguirre, der Zorn Gottes",(1972),"
Action, Adventure, Biography            ",95 min,"

7.9
",,"
    Director:
Werner Herzog
| 
    Stars:
Klaus Kinski, 
Ruy Guerra, 
Helena Rojo, 
Del Negro
","53,060","
Votes:
53,060
"
Harold and Maude,(1971),"
Comedy, Drama, Romance            ",91 min,"

7.9
",62        ,"
    Director:
Hal Ashby
| 
    Stars:
Ruth Gordon, 
Bud Cort, 
Vivian Pickles, 
Cyril Cusack
","71,629","
Votes:
71,629
"
Patton,(1970),"
Biography, Drama, War            ",172 min,"

7.9
",91        ,"
    Director:
Franklin J. Schaffner
| 
    Stars:
George C. Scott, 
Karl Malden, 
Stephen Young, 
Michael Strong
","94,410","
Votes:
94,410
| Gross:
$61.70M
"
The Wild Bunch,(1969),"
Action, Adventure, Western            ",145 min,"

7.9
",97        ,"
    Director:
Sam Peckinpah
| 
    Stars:
William Holden, 
Ernest Borgnine, 
Robert Ryan, 
Edmond O'Brien
","78,123","
Votes:
78,123
| Gross:
$12.06M
"
Night of the Living Dead,(1968),"
Horror, Thriller            ",96 min,"

7.9
",89        ,"
    Director:
George A. Romero
| 
    Stars:
Duane Jones, 
Judith O'Dea, 
Karl Hardman, 
Marilyn Eastman
","117,815","
Votes:
117,815
| Gross:
$0.09M
"
The Lion in Winter,(1968),"
Biography, Drama, History            ",134 min,"

7.9
",,"
    Director:
Anthony Harvey
| 
    Stars:
Peter O'Toole, 
Katharine Hepburn, 
Anthony Hopkins, 
John Castle
","29,315","
Votes:
29,315
| Gross:
$22.28M
"
In the Heat of the Night,(1967),"
Crime, Drama, Mystery            ",110 min,"

7.9
",75        ,"
    Director:
Norman Jewison
| 
    Stars:
Sidney Poitier, 
Rod Steiger, 
Warren Oates, 
Lee Grant
","68,739","
Votes:
68,739
| Gross:
$24.38M
"
Charade,(1963),"
Comedy, Mystery, Romance            ",113 min,"

7.9
",83        ,"
    Director:
Stanley Donen
| 
    Stars:
Cary Grant, 
Audrey Hepburn, 
Walter Matthau, 
James Coburn
","70,064","
Votes:
70,064
| Gross:
$13.47M
"
The Manchurian Candidate,(1962),"
Drama, Thriller            ",126 min,"

7.9
",94        ,"
    Director:
John Frankenheimer
| 
    Stars:
Frank Sinatra, 
Laurence Harvey, 
Janet Leigh, 
Angela Lansbury
","71,727","
Votes:
71,727
"
Spartacus,(1960),"
Adventure, Biography, Drama            ",197 min,"

7.9
",87        ,"
    Director:
Stanley Kubrick
| 
    Stars:
Kirk Douglas, 
Laurence Olivier, 
Jean Simmons, 
Charles Laughton
","125,540","
Votes:
125,540
| Gross:
$30.00M
"
L'avventura,(1960),"
Drama, Mystery, Romance            ",144 min,"

7.9
",,"
    Director:
Michelangelo Antonioni
| 
    Stars:
Gabriele Ferzetti, 
Monica Vitti, 
Lea Massari, 
Dominique Blanchar
","27,027","
Votes:
27,027
"
Hiroshima mon amour,(1959),"
Drama, Romance            ",90 min,"

7.9
",,"
    Director:
Alain Resnais
| 
    Stars:
Emmanuelle Riva, 
Eiji Okada, 
Stella Dassas, 
Pierre Barbaud
","28,962","
Votes:
28,962
| Gross:
$0.09M
"
The Ten Commandments,(1956),"
Adventure, Drama            ",220 min,"

7.9
",,"
    Director:
Cecil B. DeMille
| 
    Stars:
Charlton Heston, 
Yul Brynner, 
Anne Baxter, 
Edward G. Robinson
","65,222","
Votes:
65,222
| Gross:
$93.74M
"
The Searchers,(1956),"
Adventure, Drama, Western            ",119 min,"

7.9
",94        ,"
    Director:
John Ford
| 
    Stars:
John Wayne, 
Jeffrey Hunter, 
Vera Miles, 
Ward Bond
","81,361","
Votes:
81,361
"
East of Eden,(1955),"
Drama            ",118 min,"

7.9
",72        ,"
    Director:
Elia Kazan
| 
    Stars:
James Dean, 
Raymond Massey, 
Julie Harris, 
Burl Ives
","40,955","
Votes:
40,955
"
High Noon,(1952),"
Drama, Thriller, Western            ",85 min,"

7.9
",89        ,"
    Director:
Fred Zinnemann
| 
    Stars:
Gary Cooper, 
Grace Kelly, 
Thomas Mitchell, 
Lloyd Bridges
","98,244","
Votes:
98,244
| Gross:
$9.45M
"
Strangers on a Train,(1951),"
Crime, Film-Noir, Thriller            ",101 min,"

7.9
",88        ,"
    Director:
Alfred Hitchcock
| 
    Stars:
Farley Granger, 
Robert Walker, 
Ruth Roman, 
Leo G. Carroll
","124,340","
Votes:
124,340
| Gross:
$7.63M
"
Harvey,(1950),"
Comedy, Drama, Fantasy            ",104 min,"

7.9
",,"
    Director:
Henry Koster
| 
    Stars:
James Stewart, 
Wallace Ford, 
William H. Lynn, 
Victoria Horne
","52,888","
Votes:
52,888
"
Miracle on 34th Street,(1947),"
Comedy, Drama, Family            ",96 min,"

7.9
",88        ,"
    Director:
George Seaton
| 
    Stars:
Edmund Gwenn, 
Maureen O'Hara, 
John Payne, 
Gene Lockhart
","41,906","
Votes:
41,906
| Gross:
$2.65M
"
Notorious,(1946),"
Drama, Film-Noir, Romance            ",102 min,"

7.9
",100        ,"
    Director:
Alfred Hitchcock
| 
    Stars:
Cary Grant, 
Ingrid Bergman, 
Claude Rains, 
Louis Calhern
","93,178","
Votes:
93,178
| Gross:
$10.46M
"
The Big Sleep,(1946),"
Crime, Film-Noir, Mystery            ",114 min,"

7.9
",,"
    Director:
Howard Hawks
| 
    Stars:
Humphrey Bogart, 
Lauren Bacall, 
John Ridgely, 
Martha Vickers
","79,409","
Votes:
79,409
| Gross:
$6.54M
"
The Lost Weekend,(1945),"
Drama, Film-Noir            ",101 min,"

7.9
",,"
    Director:
Billy Wilder
| 
    Stars:
Ray Milland, 
Jane Wyman, 
Phillip Terry, 
Howard Da Silva
","33,967","
Votes:
33,967
| Gross:
$9.46M
"
The Philadelphia Story,(1940),"
Comedy, Romance            ",112 min,"

7.9
",96        ,"
    Director:
George Cukor
| 
    Stars:
Cary Grant, 
Katharine Hepburn, 
James Stewart, 
Ruth Hussey
","64,265","
Votes:
64,265
"
His Girl Friday,(1940),"
Comedy, Drama, Romance            ",92 min,"

7.9
",,"
    Director:
Howard Hawks
| 
    Stars:
Cary Grant, 
Rosalind Russell, 
Ralph Bellamy, 
Gene Lockhart
","54,260","
Votes:
54,260
| Gross:
$0.30M
"
The Adventures of Robin Hood,(1938),"
Action, Adventure, Romance            ",102 min,"

7.9
",97        ,"
    Directors:
Michael Curtiz, 
William Keighley
| 
    Stars:
Errol Flynn, 
Olivia de Havilland, 
Basil Rathbone, 
Claude Rains
","47,618","
Votes:
47,618
| Gross:
$3.98M
"
A Night at the Opera,(1935),"
Comedy, Music, Musical            ",96 min,"

7.9
",,"
    Directors:
Sam Wood, 
Edmund Goulding
| 
    Stars:
Groucho Marx, 
Chico Marx, 
Harpo Marx, 
Kitty Carlisle
","30,845","
Votes:
30,845
| Gross:
$2.54M
"
King Kong,(1933),"
Adventure, Horror, Sci-Fi            ",100 min,"

7.9
",90        ,"
    Directors:
Merian C. Cooper, 
Ernest B. Schoedsack
| 
    Stars:
Fay Wray, 
Robert Armstrong, 
Bruce Cabot, 
Frank Reicher
","80,179","
Votes:
80,179
| Gross:
$10.00M
"
Freaks,(1932),"
Drama, Horror            ",64 min,"

7.9
",80        ,"
    Director:
Tod Browning
| 
    Stars:
Wallace Ford, 
Leila Hyams, 
Olga Baclanova, 
Roscoe Ates
","42,543","
Votes:
42,543
"
Nosferatu,(1922),"
Fantasy, Horror            ",94 min,"

7.9
",,"
    Director:
F.W. Murnau
| 
    Stars:
Max Schreck, 
Alexander Granach, 
Gustav von Wangenheim, 
Greta Schröder
","89,728","
Votes:
89,728
"
The Gentlemen,(2019),"
Action, Comedy, Crime            ",113 min,"

7.8
",,"
    Director:
Guy Ritchie
| 
    Stars:
Matthew McConaughey, 
Charlie Hunnam, 
Michelle Dockery, 
Jeremy Strong
","257,068","
Votes:
257,068
"
Raazi,(2018),"
Action, Drama, Thriller            ",138 min,"

7.8
",,"
    Director:
Meghna Gulzar
| 
    Stars:
Alia Bhatt, 
Vicky Kaushal, 
Rajit Kapoor, 
Shishir Sharma
","25,847","
Votes:
25,847
"
Sound of Metal,(2019),"
Drama, Music            ",120 min,"

7.8
",82        ,"
    Director:
Darius Marder
| 
    Stars:
Riz Ahmed, 
Olivia Cooke, 
Paul Raci, 
Lauren Ridloff
","62,758","
Votes:
62,758
"
Forushande,(2016),"
Drama            ",124 min,"

7.8
",85        ,"
    Director:
Asghar Farhadi
| 
    Stars:
Shahab Hosseini, 
Taraneh Alidoosti, 
Babak Karimi, 
Mina Sadati
","52,643","
Votes:
52,643
| Gross:
$2.40M
"
Dunkirk,(2017),"
Action, Drama, History            ",106 min,"

7.8
",94        ,"
    Director:
Christopher Nolan
| 
    Stars:
Fionn Whitehead, 
Barry Keoghan, 
Mark Rylance, 
Tom Hardy
","567,652","
Votes:
567,652
| Gross:
$188.37M
"
Perfetti sconosciuti,(2016),"
Comedy, Drama            ",96 min,"

7.8
",,"
    Director:
Paolo Genovese
| 
    Stars:
Giuseppe Battiston, 
Anna Foglietta, 
Marco Giallini, 
Edoardo Leo
","58,454","
Votes:
58,454
"
Hidden Figures,(2016),"
Biography, Drama, History            ",127 min,"

7.8
",74        ,"
    Director:
Theodore Melfi
| 
    Stars:
Taraji P. Henson, 
Octavia Spencer, 
Janelle Monáe, 
Kevin Costner
","205,055","
Votes:
205,055
| Gross:
$169.61M
"
Paddington 2,(2017),"
Animation, Adventure, Comedy            ",103 min,"

7.8
",88        ,"
    Director:
Paul King
| 
    Stars:
Ben Whishaw, 
Hugh Grant, 
Hugh Bonneville, 
Sally Hawkins
","63,340","
Votes:
63,340
| Gross:
$40.44M
"
Udta Punjab,(2016),"
Action, Crime, Drama            ",148 min,"

7.8
",,"
    Director:
Abhishek Chaubey
| 
    Stars:
Shahid Kapoor, 
Alia Bhatt, 
Kareena Kapoor, 
Diljit Dosanjh
","27,502","
Votes:
27,502
"
Kubo and the Two Strings,(2016),"
Animation, Action, Adventure            ",101 min,"

7.8
",84        ,"
    Director:
Travis Knight
| 
    Stars:
Charlize Theron, 
Art Parkinson, 
Matthew McConaughey, 
Ralph Fiennes
","119,502","
Votes:
119,502
| Gross:
$48.02M
"
M.S. Dhoni: The Untold Story,(2016),"
Biography, Drama, Sport            ",184 min,"

7.8
",,"
    Director:
Neeraj Pandey
| 
    Stars:
Sushant Singh Rajput, 
Kiara Advani, 
Anupam Kher, 
Disha Patani
","41,273","
Votes:
41,273
| Gross:
$1.78M
"
Manchester by the Sea,(2016),"
Drama            ",137 min,"

7.8
",96        ,"
    Director:
Kenneth Lonergan
| 
    Stars:
Casey Affleck, 
Michelle Williams, 
Kyle Chandler, 
Lucas Hedges
","251,807","
Votes:
251,807
| Gross:
$47.70M
"
Under sandet,(2015),"
Drama, History, War            ",100 min,"

7.8
",75        ,"
    Director:
Martin Zandvliet
| 
    Stars:
Roland Møller, 
Louis Hofmann, 
Joel Basman, 
Mikkel Boe Følsgaard
","36,686","
Votes:
36,686
| Gross:
$0.44M
"
Rogue One,(2016),"
Action, Adventure, Sci-Fi            ",133 min,"

7.8
",65        ,"
    Director:
Gareth Edwards
| 
    Stars:
Felicity Jones, 
Diego Luna, 
Alan Tudyk, 
Donnie Yen
","564,143","
Votes:
564,143
| Gross:
$532.18M
"
Captain America: Civil War,(2016),"
Action, Adventure, Sci-Fi            ",147 min,"

7.8
",75        ,"
    Directors:
Anthony Russo, 
Joe Russo
| 
    Stars:
Chris Evans, 
Robert Downey Jr., 
Scarlett Johansson, 
Sebastian Stan
","678,926","
Votes:
678,926
| Gross:
$408.08M
"
The Hateful Eight,(2015),"
Crime, Drama, Mystery            ",168 min,"

7.8
",68        ,"
    Director:
Quentin Tarantino
| 
    Stars:
Samuel L. Jackson, 
Kurt Russell, 
Jennifer Jason Leigh, 
Walton Goggins
","527,146","
Votes:
527,146
| Gross:
$54.12M
"
Little Women,(2019),"
Drama, Romance            ",135 min,"

7.8
",91        ,"
    Director:
Greta Gerwig
| 
    Stars:
Saoirse Ronan, 
Emma Watson, 
Florence Pugh, 
Eliza Scanlen
","151,366","
Votes:
151,366
| Gross:
$108.10M
"
Loving Vincent,(2017),"
Animation, Biography, Crime            ",94 min,"

7.8
",62        ,"
    Directors:
Dorota Kobiela, 
Hugh Welchman
| 
    Stars:
Douglas Booth, 
Jerome Flynn, 
Robert Gulaczyk, 
Helen McCrory
","51,918","
Votes:
51,918
| Gross:
$6.74M
"
Pride,(I) (2014),"
Biography, Comedy, Drama            ",119 min,"

7.8
",79        ,"
    Director:
Matthew Warchus
| 
    Stars:
Bill Nighy, 
Imelda Staunton, 
Dominic West, 
Paddy Considine
","52,596","
Votes:
52,596
"
Nightcrawler,(2014),"
Crime, Drama, Thriller            ",117 min,"

7.8
",76        ,"
    Director:
Dan Gilroy
| 
    Stars:
Jake Gyllenhaal, 
Rene Russo, 
Bill Paxton, 
Riz Ahmed
","475,795","
Votes:
475,795
| Gross:
$32.38M
"
Le passé,(2013),"
Drama, Mystery            ",130 min,"

7.8
",85        ,"
    Director:
Asghar Farhadi
| 
    Stars:
Bérénice Bejo, 
Tahar Rahim, 
Ali Mosaffa, 
Pauline Burlet
","45,438","
Votes:
45,438
| Gross:
$1.33M
"
La grande bellezza,(2013),"
Drama            ",141 min,"

7.8
",86        ,"
    Director:
Paolo Sorrentino
| 
    Stars:
Toni Servillo, 
Carlo Verdone, 
Sabrina Ferilli, 
Carlo Buccirosso
","82,219","
Votes:
82,219
| Gross:
$2.85M
"
The Lunchbox,(2013),"
Drama, Romance            ",104 min,"

7.8
",76        ,"
    Director:
Ritesh Batra
| 
    Stars:
Irrfan Khan, 
Nimrat Kaur, 
Nawazuddin Siddiqui, 
Lillete Dubey
","51,284","
Votes:
51,284
| Gross:
$4.23M
"
Vicky Donor,(2012),"
Comedy, Romance            ",126 min,"

7.8
",,"
    Director:
Shoojit Sircar
| 
    Stars:
Ayushmann Khurrana, 
Yami Gautam, 
Annu Kapoor, 
Dolly Ahluwalia
","40,043","
Votes:
40,043
| Gross:
$0.17M
"
Big Hero 6,(2014),"
Animation, Action, Adventure            ",102 min,"

7.8
",74        ,"
    Directors:
Don Hall, 
Chris Williams
| 
    Stars:
Ryan Potter, 
Scott Adsit, 
Jamie Chung, 
T.J. Miller
","416,208","
Votes:
416,208
| Gross:
$222.53M
"
About Time,(I) (2013),"
Comedy, Drama, Fantasy            ",123 min,"

7.8
",,"
    Director:
Richard Curtis
| 
    Stars:
Domhnall Gleeson, 
Rachel McAdams, 
Bill Nighy, 
Lydia Wilson
","310,693","
Votes:
310,693
| Gross:
$15.32M
"
English Vinglish,(2012),"
Comedy, Drama, Family            ",134 min,"

7.8
",,"
    Director:
Gauri Shinde
| 
    Stars:
Sridevi, 
Adil Hussain, 
Mehdi Nebbou, 
Priya Anand
","33,959","
Votes:
33,959
| Gross:
$1.67M
"
Kaze tachinu,(2013),"
Animation, Biography, Drama            ",126 min,"

7.8
",83        ,"
    Director:
Hayao Miyazaki
| 
    Stars:
Hideaki Anno, 
Hidetoshi Nishijima, 
Miori Takimoto, 
Masahiko Nishimura
","75,451","
Votes:
75,451
| Gross:
$5.21M
"
Toy Story 4,(2019),"
Animation, Adventure, Comedy            ",100 min,"

7.8
",84        ,"
    Director:
Josh Cooley
| 
    Stars:
Tom Hanks, 
Tim Allen, 
Annie Potts, 
Tony Hale
","209,892","
Votes:
209,892
| Gross:
$434.04M
"
La migliore offerta,(2013),"
Crime, Drama, Mystery            ",131 min,"

7.8
",,"
    Director:
Giuseppe Tornatore
| 
    Stars:
Geoffrey Rush, 
Jim Sturgess, 
Sylvia Hoeks, 
Donald Sutherland
","110,231","
Votes:
110,231
| Gross:
$0.09M
"
Moonrise Kingdom,(2012),"
Comedy, Drama, Romance            ",94 min,"

7.8
",84        ,"
    Director:
Wes Anderson
| 
    Stars:
Jared Gilman, 
Kara Hayward, 
Bruce Willis, 
Bill Murray
","323,049","
Votes:
323,049
| Gross:
$45.51M
"
How to Train Your Dragon 2,(2014),"
Animation, Action, Adventure            ",102 min,"

7.8
",76        ,"
    Director:
Dean DeBlois
| 
    Stars:
Jay Baruchel, 
Cate Blanchett, 
Gerard Butler, 
Craig Ferguson
","308,990","
Votes:
308,990
| Gross:
$177.00M
"
The Big Short,(2015),"
Biography, Comedy, Drama            ",130 min,"

7.8
",81        ,"
    Director:
Adam McKay
| 
    Stars:
Christian Bale, 
Steve Carell, 
Ryan Gosling, 
Brad Pitt
","373,021","
Votes:
373,021
| Gross:
$70.26M
"
Kokuhaku,(2010),"
Drama, Thriller            ",106 min,"

7.8
",,"
    Director:
Tetsuya Nakashima
| 
    Stars:
Takako Matsu, 
Yoshino Kimura, 
Masaki Okada, 
Yukito Nishii
","36,161","
Votes:
36,161
"
Ang-ma-reul bo-at-da,(2010),"
Action, Crime, Drama            ",144 min,"

7.8
",67        ,"
    Director:
Jee-woon Kim
| 
    Stars:
Lee Byung-Hun, 
Choi Min-sik, 
Jeon Gook-Hwan, 
Ho-jin Chun
","113,761","
Votes:
113,761
| Gross:
$0.13M
"
The Girl with the Dragon Tattoo,(2011),"
Crime, Drama, Mystery            ",158 min,"

7.8
",71        ,"
    Director:
David Fincher
| 
    Stars:
Daniel Craig, 
Rooney Mara, 
Christopher Plummer, 
Stellan Skarsgård
","428,923","
Votes:
428,923
| Gross:
$102.52M
"
Captain Phillips,(2013),"
Adventure, Biography, Crime            ",134 min,"

7.8
",82        ,"
    Director:
Paul Greengrass
| 
    Stars:
Tom Hanks, 
Barkhad Abdi, 
Barkhad Abdirahman, 
Catherine Keener
","426,227","
Votes:
426,227
| Gross:
$107.10M
"
Ajeossi,(2010),"
Action, Crime, Drama            ",119 min,"

7.8
",,"
    Director:
Jeong-beom Lee
| 
    Stars:
Won Bin, 
Sae-ron Kim, 
Tae-hoon Kim, 
Hee-won Kim
","63,890","
Votes:
63,890
| Gross:
$0.01M
"
Straight Outta Compton,(2015),"
Biography, Drama, History            ",147 min,"

7.8
",72        ,"
    Director:
F. Gary Gray
| 
    Stars:
O'Shea Jackson Jr., 
Corey Hawkins, 
Jason Mitchell, 
Neil Brown Jr.
","181,937","
Votes:
181,937
| Gross:
$161.20M
"
The Irishman,(2019),"
Biography, Crime, Drama            ",209 min,"

7.8
",94        ,"
    Director:
Martin Scorsese
| 
    Stars:
Robert De Niro, 
Al Pacino, 
Joe Pesci, 
Harvey Keitel
","334,544","
Votes:
334,544
| Gross:
$7.00M
"
Madeo,(2009),"
Crime, Drama, Mystery            ",129 min,"

7.8
",79        ,"
    Director:
Bong Joon Ho
| 
    Stars:
Hye-ja Kim, 
Won Bin, 
Jin Goo, 
Je-mun Yun
","54,662","
Votes:
54,662
| Gross:
$0.55M
"
Chugyeokja,(2008),"
Action, Crime, Thriller            ",125 min,"

7.8
",64        ,"
    Director:
Hong-jin Na
| 
    Stars:
Kim Yoon-seok, 
Jung-woo Ha, 
Yeong-hie Seo, 
Kim Yoo-Jeong
","59,546","
Votes:
59,546
"
The Hobbit: The Desolation of Smaug,(2013),"
Adventure, Fantasy            ",161 min,"

7.8
",66        ,"
    Director:
Peter Jackson
| 
    Stars:
Ian McKellen, 
Martin Freeman, 
Richard Armitage, 
Ken Stott
","607,939","
Votes:
607,939
| Gross:
$258.37M
"
Das weiße Band - Eine deutsche Kindergeschichte,(2009),"
Drama, History, Mystery            ",144 min,"

7.8
",82        ,"
    Director:
Michael Haneke
| 
    Stars:
Christian Friedel, 
Ernst Jacobi, 
Leonie Benesch, 
Ulrich Tukur
","69,423","
Votes:
69,423
| Gross:
$2.22M
"
Män som hatar kvinnor,(2009),"
Crime, Drama, Mystery            ",152 min,"

7.8
",76        ,"
    Director:
Niels Arden Oplev
| 
    Stars:
Michael Nyqvist, 
Noomi Rapace, 
Ewa Fröling, 
Lena Endre
","210,131","
Votes:
210,131
| Gross:
$10.10M
"
